Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Congo, Dem. Rep.",364.7141918,400.0599018,431.1915282,458.0045418,467.9145805,442.3104721,436.5845347,528.2560198,557.0441613,507.5212301
"Congo, Rep.",3396.165058,3732.327373,3697.417059,3601.236581,2439.351894,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672
Colombia,7400.99407,8108.598382,8279.102556,8187.208249,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114
Comoros,1531.439693,1490.314257,1603.326535,1615.717185,1329.370481,1365.484034,1423.924802,1540.711323,1519.263863,1527.169909
Cabo Verde,4002.013869,3736.81517,3960.975968,3985.607065,3415.062667,3608.966052,3893.095714,4294.9651,4380.781173,3539.226612
Costa Rica,9276.391075,10126.9991,10803.2402,10911.49788,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494
Cuba,6104.461052,6470.836734,6828.364282,7146.704591,7727.919972,8110.55874,8610.608295,8911.46206,9232.261159,9605.261251
Curacao,19426.32638,19809.82232,19721.29216,19623.02999,19361.813,18944.09615,18938.24405,19119.12439,19220.68658,16356.09333
Cayman Islands,75280.96076,75101.59136,75113.73324,75845.30604,76379.20951,77802.25416,80053.94445,83865.55316,88254.29037,82338.79829
Cyprus,32485.79688,28991.93555,27797.45703,27244.35156,23487.22852,24715.1543,26696.99023,29599.98633,29703.05273,28649.01563
Czechia,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155
Germany,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519
Djibouti,1306.345528,1400.193579,2075.944984,2214.620841,2376.125547,2510.430008,2618.955211,2718.083388,2837.169023,2844.888106
Dominica,7705.407172,7528.51002,7822.217972,8131.748761,8282.598747,8802.56172,8224.648966,9215.308541,9491.14996,7827.748427
Denmark,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856
Dominican Republic,5826.510141,6013.81965,6136.594293,6496.45167,6800.953094,7160.44201,7412.715716,7882.982216,8183.016236,7135.222733
Algeria,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952
East Asia & Pacific,8929.666845,9479.323443,9522.667498,9759.275634,9657.528896,9928.671499,10526.67717,11394.4809,11578.27483,11595.29409
Europe & Central Asia,26221.78566,25146.01978,26177.10964,26444.79301,22676.94946,22496.77585,23780.61679,25362.67581,24975.41664,24121.4791
Ecuador,5153.691642,5634.083932,6109.290315,6405.799793,5976.159681,5917.637713,6233.322448,6303.918867,6205.057652,5463.645153
"Egypt, Arab Rep.",2590.643849,2996.067707,3025.525636,3133.391023,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381
Spain,31824.62191,28456.44382,29228.84656,29707.76551,25982.44162,26755.60611,28381.34256,30602.42129,29786.52457,27233.94265
Estonia,17555.54552,17568.2138,19310.38749,20581.7899,17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394
Ethiopia,343.0249424,452.1010319,484.0398331,549.9865771,621.8456738,696.1960848,745.6324339,747.9680037,828.7090805,905.3131593
Finland,51060.32426,47551.67408,49691.01452,50073.77608,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469
Fiji,4139.602886,4341.403387,4572.443775,5293.356767,5097.531069,5363.790267,5826.848145,6085.419795,5950.828669,4844.421272
France,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606
Faroe Islands,51618.99078,50261.96163,55758.20837,60172.06325,52635.03755,56875.28038,59387.35309,62526.49085,63067.06957,62240.82241
"Micronesia, Fed. Sts.",2890.50493,3033.169895,2933.883334,2945.41496,2911.16211,2979.601192,3279.10779,3566.586904,3572.659183,3362.027931
Gabon,10219.11393,9296.965879,9197.701063,9201.362766,7047.126546,6677.070039,6921.733731,7624.277523,7441.178647,6605.803461
United Kingdom,42109.64188,42490.14655,43419.03526,47426.62098,44983.88552,40988.10442,40629.23403,43315.48745,42794.00226,40404.80622
Georgia,4119.668183,4530.695334,4712.002294,4830.334862,4086.622347,4143.401257,4418.752065,4804.054604,4741.283272,4300.857013
Ghana,1507.435732,1543.775242,2294.795847,1949.908329,1722.772828,1912.479913,2012.286626,2195.32166,2186.658227,2195.454817
Guinea,636.6949587,699.3533772,748.4550208,765.1469994,747.3569668,711.9965098,833.5986217,933.2736156,1031.341465,1053.660977
"Gambia, The",710.6084115,692.5793616,653.8627133,568.0045356,619.5363643,650.0565013,642.5226413,696.219807,738.186752,720.3351434
Guinea-Bissau,719.5395735,635.4616533,654.3045344,652.022501,645.0668372,679.6653866,783.1231866,808.5316132,807.4255249,836.2673142
Equatorial Guinea,17198.21367,17308.57239,16304.07132,15548.66247,9068.910032,7453.197979,7809.104657,8102.470848,6804.149231,5764.055029
Greece,25504.78665,21624.34605,21573.34498,21474.72571,17980.72982,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317
Grenada,6947.381361,7092.719854,7424.802123,7986.334212,8694.12438,9221.234611,9751.426612,10083.02128,10462.79292,8968.558901
Greenland,47186.876,45936.95628,47535.48838,50485.22441,44536.35497,48181.74535,50765.74947,54545.13586,53309.20359,54812.66618
Guatemala,3168.983706,3286.619593,3444.159713,3689.144718,3893.505221,4060.13755,4324.996082,4352.946518,4511.997552,4477.617618
Guam,29926.20524,31653.75065,32530.75931,33900.14865,35165.70146,35930.65949,36779.00789,37195.95031,39274.94314,36482.9364
Guyana,4947.221706,5444.397519,5556.912312,5472.688205,5640.415606,5870.878238,6178.665044,6048.386972,6405.824434,6775.709391
"Hong Kong SAR, China",35142.48793,36730.7962,38403.77771,40315.37395,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999
Honduras,2073.661211,2126.034747,2081.128435,2179.88172,2271.20266,2307.344684,2413.007656,2464.642415,2502.327443,2307.614943
Croatia,14694.99932,13508.6837,14136.39677,14187.96945,12285.30326,12821.17381,13902.63105,15460.41833,15563.81674,14808.46202
Haiti,1312.039536,1361.393966,1457.832212,1460.188986,1411.126847,1318.402682,1395.239452,1496.38049,1352.172042,1290.325387
Hungary,14211.46056,12950.15945,13739.46202,14352.50188,12782.94126,13215.86053,14736.16682,16605.05705,17012.85986,16386.93088
Indonesia,3579.464425,3632.27254,3566.602845,3441.068085,3288.222697,3521.469435,3798.883262,3860.953531,4106.948562,3853.702888
Isle of Man,77808.85796,79329.20343,83207.65884,91885.45287,84753.51874,82025.94545,83481.30385,89393.82442,87127.5518,79513.53303
India,1445.461275,1429.321995,1432.843975,1553.883961,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516
Ireland,52692.78131,49411.73875,52619.21237,57278.25909,64311.82347,64192.94181,72198.1077,80738.96288,81810.19265,86622.50673
"Iran, Islamic Rep.",8025.687434,8114.080998,6222.741948,5672.063729,4952.733555,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224
Iraq,5775.542291,6477.596185,6650.352822,6249.39227,4440.141893,4334.420964,4759.284644,5646.689321,5671.856863,4295.189451
Iceland,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74452.18907,68452.23622,59023.56635
Israel,34522.5216,33321.43009,37034.31611,38343.30466,36213.10415,37671.53891,41138.47096,42362.66528,44250.63136,44575.5719
Italy,38432.37428,34854.39494,35701.6746,36028.3494,30639.88298,31391.56929,32844.11566,34904.10819,33812.78872,32091.48666
Jamaica,5232.636449,5340.833332,5124.213014,4975.113255,5062.89555,5009.794487,5259.313328,5578.103475,5607.242993,4879.440258
Jordan,3946.855039,4169.504701,4311.219167,4191.180501,4042.756781,3986.71677,4065.616287,4145.439897,4170.1144,4022.040136
Japan,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40028.73417
Kazakhstan,11287.14649,12018.79665,13478.45963,12427.70946,10196.12263,7475.566887,8943.084168,9472.485273,9457.126147,8781.507978
Kenya,1096.144998,1285.005362,1370.878852,1482.815663,1489.119598,1554.126103,1667.484472,1836.452755,1960.408089,1927.66459
Kyrgyz Republic,1117.401744,1168.622447,1269.663035,1264.526688,1105.651938,1103.274894,1221.390468,1283.520304,1421.999275,1229.517666
Cambodia,1088.981528,1192.80263,1305.660097,1431.563965,1547.320104,1675.195557,1826.353917,2036.673776,2225.877055,2081.739142
Kiribati,1771.129268,1843.553363,1772.087183,1736.705357,1639.852747,1742.667993,1853.051227,1912.738094,1750.997719,1751.78232
St. Kitts and Nevis,17832.45729,17532.0559,18580.13019,20219.39542,20328.80035,21387.54155,22464.98996,22901.38164,23595.49232,18859.01904
"Korea, Rep.",25097.59543,25459.1689,27179.51701,29252.93124,28737.43917,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891
Kuwait,49169.6064,52155.22255,49651.04397,44368.78137,29882.21269,27323.68906,29047.65358,32067.96237,31707.87375,25236.07555
Lao PDR,1361.547044,1563.565077,1812.517744,1981.039109,2121.013391,2303.22156,2432.430595,2545.107542,2589.32081,2583.777307
Lebanon,7834.962571,8406.984056,8162.379294,7577.64133,7714.11,8089.012088,8608.21085,9174.536662,8905.880055,5561.19167
Liberia,568.0878655,638.3687515,710.7445709,706.7144901,692.5900824,714.6130631,699.2690957,692.2031271,658.1641808,616.787867
Libya,7593.839153,14975.89028,11951.71341,8926.420746,7458.489178,7525.802993,9965.832367,11196.58548,9963.194891,6650.338106
St. Lucia,9128.99442,9260.300066,9577.217338,10044.82184,10334.98608,10638.12694,11333.11238,11642.69847,11794.05972,8411.074749
Liechtenstein,158066.3694,148842.0351,172823.6078,178735.153,167187.1573,165375.4914,170547.0923,174988.7751,166907.8393,164671.0936
Sri Lanka,3224.957363,3327.776124,3740.615893,3971.919131,4057.715835,4149.191908,4398.888281,4358.560959,4081.947727,3847.601377
Lesotho,1280.733909,1217.930712,1151.037358,1173.537793,1121.198513,992.4918407,1069.366732,1170.655697,1082.057068,918.5825774
Lithuania,14261.84338,14288.18535,15636.52526,16446.16472,14269.80399,14934.27028,16800.15102,19247.23154,19608.79439,20428.64782
Luxembourg,119025.0572,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,116926.7596,112696.6491,116860.0282
Latvia,12902.57405,13329.34999,14484.47153,15185.81458,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215
"Macao SAR, China",67041.28231,76051.63123,87069.767,88310.81196,70070.2918,69074.0363,77704.92153,83761.81718,81967.69917,36976.25611
Morocco,3301.98877,3164.177246,3379.743164,3435.406982,3146.247803,3140.855469,3296.526611,3501.697998,3508.097656,3268.030273
Monaco,179363.9842,165444.6514,184940.6638,195693.5707,170437.1012,173604.7536,170663.3752,188298.3157,193746.7856,176891.8865
Moldova,2941.362241,3044.808432,3321.043978,3289.957586,2749.551371,2847.087948,3453.267277,4156.44982,4405.334182,4375.778893
Madagascar,506.1636916,493.5111629,515.3015894,505.6849225,445.3200695,453.9707145,491.8668487,500.4571855,499.8188376,450.7716152
Maldives,7424.520411,7461.297037,8236.081779,8939.074166,9644.90655,9947.807447,10509.62881,11423.28384,11740.2724,7393.888654
Mexico,10664.4944,10744.13352,11216.80085,11391.37735,10021.23861,9097.923977,9649.278168,10084.79376,10369.55536,8841.270751
