Country Name,Continent,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latvia,Europe,73.57560976,73.77804878,73.98292683,74.12439024,74.4804878,74.5804878,74.62926829,74.78292683,75.38780488,75.18536585
"Macao SAR, China",Asia,82.47073171,82.47073171,82.72195122,83.02195122,83.22439024,83.27560976,83.52682927,83.67804878,83.92926829,84.12926829
Morocco,Africa,71.263,71.674,72.117,72.522,72.894,73.228,73.608,73.946,74.245,73.133
Monaco,Europe,85.01,85.045,85.056,85.093,85.323,85.63,85.878,86.084,86.151,86.089
Moldova,Europe,70.173,70.344,70.291,70.241,70.118,70.179,70.375,70.236,70.181,69.914
Madagascar,Africa,62.86,63.007,63.161,63.261,63.362,63.431,63.433,63.491,63.504,62.706
Maldives,Asia,77.141,77.512,77.847,78.187,78.607,78.913,79.228,79.433,79.707,78.713
Mexico,North America,73.921,74.128,74.289,74.404,74.431,74.376,74.261,74.301,74.53,70.449
Marshall Islands,Oceania,64.641,64.776,64.954,65.11,65.292,65.477,65.673,65.87,66.047,65.387
North Macedonia,Europe,75.1,74.90243902,75.4,75.45121951,75.40243902,75.4,75.95365854,76.64878049,76.60243902,74.39512195
Mali,Africa,56.367,56.696,57.052,57.482,57.852,58.286,58.562,58.873,59.217,58.858
Malta,Europe,80.74634146,80.74634146,81.74634146,82.04634146,81.89756098,82.45365854,82.34634146,82.24878049,82.65853659,82.09756098
Myanmar,Asia,63.859,64.251,64.617,64.994,65.288,65.64,65.909,66.232,66.457,66.612
Montenegro,Europe,76.08292683,76.3,76.4902439,76.33902439,76.60243902,76.54146341,76.68536585,77.88536585,76.68292683,75.93170732
Mongolia,Asia,69.10926829,69.5002439,70.09804878,70.58317073,70.8102439,70.22390244,70.54341463,70.82707317,71.05317073,71.34902439
Northern Mariana Islands,Oceania,77.688,77.566,77.452,77.377,77.36,77.392,77.47,77.51,77.844,78.03
Mozambique,Africa,55.733,56.46,57.189,57.965,58.711,59.455,60.148,60.79,61.306,61.39
Mauritania,Africa,65.754,65.808,65.89,66.207,66.498,66.823,67.088,67.419,67.64,66.794
Mauritius,Africa,73.26682927,73.86341463,74.01707317,74.19439024,74.35317073,74.39487805,74.51463415,74.41634146,74.23585366,74.17707317
Malawi,Africa,58.859,59.87,60.816,61.651,62.324,63.163,63.914,64.464,64.995,65.216
Malaysia,Asia,75.488,75.552,75.464,75.345,75.288,75.371,75.542,75.734,75.9,76.057
Namibia,Africa,56.647,57.733,58.468,59.311,60.008,60.81,61.661,62.579,63.546,64.071
New Caledonia,Oceania,76.315,76.615,76.867,77.053,77.206,77.359,77.504,77.557,77.262,77.049
Niger,Africa,57.6,57.987,58.364,58.693,58.85,59.228,59.524,59.765,60.031,59.89
Nigeria,Africa,51.49,51.688,51.827,51.94,51.939,52.189,52.397,52.669,53.009,53.072
Nicaragua,North America,72.033,72.435,72.551,72.792,72.899,73.18,73.389,73.879,73.764,70.766
Netherlands,Europe,81.20487805,81.10487805,81.30487805,81.70731707,81.5097561,81.56097561,81.76097561,81.81219512,82.11219512,81.35853659
Norway,Europe,81.29512195,81.45121951,81.75121951,82.1,82.30487805,82.40731707,82.6097561,82.75853659,82.95853659,83.2097561
Nepal,Asia,67.123,67.364,67.598,67.812,67.374,68.444,68.74,69.036,69.299,69.106
Nauru,Oceania,60.287,60.533,60.701,60.834,60.897,60.996,61.101,61.238,61.393,61.527
New Zealand,Oceania,81.15609756,81.40731707,81.40487805,81.45682927,81.61243902,81.65853659,81.85853659,81.70731707,82.05609756,82.25609756
Oman,Asia,77.74,78.187,78.633,79.03,79.346,79.581,79.748,79.864,79.946,77.763
Pakistan,Asia,64.659,64.883,65.129,65.374,65.641,65.943,66.223,66.481,66.729,65.701
Panama,North America,76.659,76.877,77.129,77.365,77.583,77.772,77.901,78.266,78.514,76.33
Peru,South America,73.327,73.979,74.591,75.26,75.732,75.951,75.958,76.018,76.275,73.832
Philippines,Asia,69.096,69.237,69.283,69.311,69.45,69.49,69.966,69.761,69.68,70.097
Palau,Oceania,68.638,68.863,68.981,69.062,69.07,69.046,69.019,68.989,68.982,68.689
Papua New Guinea,Asia,63.382,63.639,63.927,64.198,64.473,64.7,64.923,65.114,65.331,65.075
Poland,Europe,76.69512195,76.74634146,77,77.60243902,77.45121951,77.85121951,77.75365854,77.60243902,77.90487805,76.4
Puerto Rico (US),North America,78.766,79.258,80.318,80.039,80.677,80.355,79.07,81.086,81.438,80.009
Portugal,Europe,80.47073171,80.37317073,80.72195122,81.12195122,81.12439024,81.12439024,81.42439024,81.32439024,81.67560976,81.32926829
Paraguay,South America,72.787,73.105,73.292,73.415,73.454,73.487,73.45,73.627,73.668,72.72
West Bank and Gaza,Asia,73.557,73.722,74.14,72.781,74.577,74.917,75.216,75.38,75.811,74.998
French Polynesia,Oceania,81.434,81.695,81.935,82.151,82.339,82.555,82.774,82.985,83.195,82.459
Qatar,Asia,79.994,80.499,80.974,81.395,81.785,82.147,82.458,82.714,82.945,80.409
Romania,Europe,74.4097561,74.41219512,75.06341463,74.9097561,74.91219512,75.2097561,75.2097561,75.35853659,75.60731707,74.25365854
Russian Federation,Europe,69.68390244,70.07219512,70.57878049,70.74365854,71.18341463,71.65121951,72.45146341,72.66219512,73.08390244,71.33878049
Rwanda,Africa,63.476,64.189,64.651,65.088,65.419,65.733,66.14,66.354,66.691,66.953
Saudi Arabia,Asia,75.808,76.09,76.517,77.116,77.776,78.354,78.721,78.75,78.313,77.596
Sudan,Africa,63.181,63.427,63.443,63.99,64.375,64.677,65.146,65.501,65.803,65.124
Senegal,Africa,64.799,65.229,65.638,66.001,66.451,66.724,67.059,67.379,67.668,67.496
Singapore,Asia,81.74390244,81.99512195,82.24634146,82.49512195,82.74390244,82.84634146,83.09512195,83.29756098,83.59512195,83.54390244
Solomon Islands,Oceania,68.824,68.961,69.007,68.984,69.323,69.501,69.652,69.806,69.981,69.258
Sierra Leone,Africa,52.594,53.159,54.051,54.281,55.454,56.937,57.761,59.059,59.593,59.694
El Salvador,North America,71.192,71.42,71.225,71.144,70.952,70.908,71.007,71.384,71.725,70.244
San Marino,Europe,83.713,83.943,84.175,84.394,84.596,84.775,84.933,85.095,85.257,82.65
"Somalia, Fed. Rep.",Africa,32.453,49.138,54.016,54.442,55.056,55.283,52.19,54.767,57.249,57.095
Serbia,Europe,74.53658537,74.83658537,75.18536585,75.33658537,75.28780488,75.68780488,75.53902439,75.8902439,75.93658537,74.47804878
Sao Tome and Principe,Africa,64.122,64.505,64.93,65.478,66.023,66.563,67.074,67.602,68.043,67.979
Suriname,South America,69.82,69.957,70.11,70.33,70.567,70.979,71.247,71.468,71.773,72.321
Slovak Republic,Europe,75.95853659,76.1097561,76.41219512,76.81219512,76.56341463,77.16585366,77.16585366,77.26585366,77.66585366,76.86585366
Slovenia,Europe,79.97073171,80.12439024,80.32195122,81.07804878,80.77560976,81.17560976,81.02926829,81.37804878,81.52926829,80.53170732
Sweden,Europe,81.80243902,81.70487805,81.95609756,82.25365854,82.20487805,82.30731707,82.4097561,82.55853659,83.1097561,82.35609756
Eswatini,Africa,49.057,50.714,52.11,53.491,54.941,56.228,57.574,58.707,59.85,59.862
Sint Maarten (Dutch part),North America,74.868,75.125,75.391,75.735,75.899,75.952,75.455,75.693,75.68,75.002
Seychelles,Africa,72.72439024,74.27560976,73.1195122,73.22926829,74.29512195,74.3097561,74.3,72.84146341,74.04634146,77.23658537
Syrian Arab Republic,Asia,72.259,66.206,65.146,65.492,63.265,65.19,65.651,67.371,70.97,71.944
Turks and Caicos Islands,North America,76.87,76.969,77.1,77.212,77.321,77.437,77.505,77.596,77.691,77.499
Chad,Africa,50.426,50.765,51.051,51.141,51.32,51.603,51.875,52.447,52.993,53.082
Togo,Africa,57.612,57.94,58.345,58.766,59.22,59.669,60.135,60.601,61.055,61.123
Thailand,Asia,75.302,75.59,75.96,76.279,76.563,76.769,76.989,77.19,77.197,77.331
Tajikistan,Asia,68.698,69.13,69.579,69.697,69.665,69.982,70.524,70.737,70.962,68.605
Turkmenistan,Asia,68.87,68.961,68.968,69.001,69.061,69.142,69.19,69.272,69.405,68.846
Timor-Leste,Asia,64.022,64.384,64.719,65.027,65.326,65.61,65.898,66.204,66.496,66.919
Tonga,Oceania,71.437,71.546,71.65,71.721,71.851,71.951,72.066,72.169,72.292,72.379
Trinidad and Tobago,North America,72.232,72.513,72.785,72.898,72.882,72.935,72.984,72.658,72.836,72.645
Tunisia,Africa,74.471,74.599,74.674,74.784,74.875,75.007,75.177,75.37,75.599,75.004
Turkiye,Asia,74.823,75.552,76.171,76.452,76.539,76.595,77.037,77.454,77.737,76.525
Tuvalu,Oceania,64.96,65.079,65.171,65.278,65.365,65.51,65.683,65.871,66.109,66.357
Tanzania,Africa,61.618,62.286,62.788,63.364,63.928,64.404,64.963,65.488,66.007,66.771
Uganda,Africa,60.791,61.579,62.353,63.057,63.831,64.494,65.174,65.775,66.354,66.41
Ukraine,Europe,70.711,71.09,71.474,71.803,72.686,73.389,73.993,73.569,73.92,73.283
Uruguay,South America,76.614,76.691,76.953,77.194,77.285,77.351,77.618,77.527,77.503,78.381
United States of America,North America,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878
Uzbekistan,Asia,70.143,70.411,70.692,70.973,71.33,71.58,71.737,71.999,72.093,71.461
St. Vincent and the Grenadines,North America,70.609,70.539,70.091,70.355,70.463,70.7,71.013,71.017,70.994,69.605
Virgin Islands (U.S.),North America,78.31707317,78.51707317,78.71707317,78.86829268,79.01707317,79.16829268,79.36829268,79.5195122,79.66829268,79.8195122
Viet Nam,Asia,73.713,73.762,73.821,73.886,73.955,73.984,74.026,74.1,74.211,75.383
Vanuatu,Oceania,69.729,69.898,69.986,70.043,70.163,70.397,70.5,70.626,70.783,70.385
Samoa,Oceania,71.393,71.159,71.229,71.142,71.06,71.003,70.991,71.052,70.269,70.727
Kosovo,Europe,75.323,75.75,76.336,76.179,76.024,76.748,77.105,77.117,77.249,74.212
South Africa,Africa,60.602,61.737,62.388,63.184,64.053,64.749,65.422,65.726,66.071,65.15
Zambia,Africa,57.843,58.704,59.445,60.109,60.728,61.129,61.564,62.138,62.914,63.361
Zimbabwe,Africa,53.911,55.386,56.842,58.106,58.989,59.76,60.263,60.906,61.06,61.53

